label,trial,gait
idle,1,3.505155e+01
idle,1,6.005155e+01
idle,1,8.505155e+01
walk-rampascent,1,1.001565e+01
walk-rampascent,1,3.505477e+01
walk-rampascent,1,6.001565e+01
walk-rampascent,1,8.505477e+01
rampascent,1,1.008772e+01
rampascent,1,3.508772e+01
rampascent,1,6.008772e+01
rampascent,1,8.508772e+01
rampascent,1,1.005819e+01
rampascent,1,3.507897e+01
rampascent,1,6.001663e+01
rampascent,1,8.503741e+01
rampascent-walk,1,1.004710e+01
rampascent-walk,1,3.500785e+01
rampascent-walk,1,6.004710e+01
rampascent-walk,1,8.500785e+01
idle,1,1.007692e+01
idle,1,3.507692e+01
idle,1,6.007692e+01
idle,1,8.507692e+01
idle,1,1.005174e+01
idle,1,3.503326e+01
idle,1,6.001478e+01
idle,1,8.507021e+01
idle,1,1.003836e+01
idle,1,3.503836e+01
idle,1,6.003836e+01
idle,1,8.503836e+01
walk-rampdescent,1,1.007819e+01
walk-rampdescent,1,3.501303e+01
walk-rampdescent,1,6.003475e+01
walk-rampdescent,1,8.505647e+01
rampdescent,1,1.003752e+01
rampdescent,1,3.508443e+01
rampdescent,1,6.003752e+01
rampdescent,1,8.508443e+01
rampdescent,1,1.004651e+01
rampdescent,1,3.506977e+01
rampdescent,1,6.009302e+01
rampdescent,1,8.502326e+01
rampdescent,1,1.005199e+01
rampdescent,1,3.500867e+01
rampdescent,1,6.005199e+01
rampdescent,1,8.500867e+01
rampdescent-walk,1,1.001001e+01
rampdescent-walk,1,3.503504e+01
rampdescent-walk,1,6.006006e+01
rampdescent-walk,1,8.508509e+01
idle,2,3.500411e+01
idle,2,6.006574e+01
idle,2,8.504519e+01
walk-rampascent,2,1.008547e+01
walk-rampascent,2,3.504274e+01
walk-rampascent,2,6.008547e+01
walk-rampascent,2,8.504274e+01
rampascent,2,1.003521e+01
rampascent,2,3.503521e+01
rampascent,2,6.003521e+01
rampascent,2,8.503521e+01
rampascent,2,1.004329e+01
rampascent,2,3.506494e+01
rampascent,2,6.008658e+01
rampascent,2,8.502165e+01
rampascent-walk,2,1.006971e+01
rampascent-walk,2,3.501162e+01
rampascent-walk,2,6.003098e+01
rampascent-walk,2,8.505035e+01
idle,2,1.003160e+01
idle,2,3.507109e+01
idle,2,6.003160e+01
idle,2,8.507109e+01
idle,2,1.000352e+01
idle,2,3.501233e+01
idle,2,6.002113e+01
idle,2,8.502994e+01
walk-rampdescent,2,1.006601e+01
walk-rampdescent,2,3.506601e+01
walk-rampdescent,2,6.006601e+01
walk-rampdescent,2,8.506601e+01
rampdescent,2,1.002760e+01
rampdescent,2,3.505060e+01
rampdescent,2,6.007360e+01
rampdescent,2,8.500460e+01
rampdescent,2,1.000918e+01
rampdescent,2,3.507805e+01
rampdescent,2,6.005510e+01
rampdescent,2,8.503214e+01
rampdescent,2,1.009009e+01
rampdescent,2,3.504505e+01
rampdescent,2,6.009009e+01
rampdescent,2,8.504505e+01
rampdescent-walk,2,1.006979e+01
rampdescent-walk,2,3.509472e+01
rampdescent-walk,2,6.001994e+01
rampdescent-walk,2,8.504487e+01
idle,3,3.507463e+01
idle,3,6.007463e+01
idle,3,8.507463e+01
walk-rampascent,3,1.004082e+01
walk-rampascent,3,3.502041e+01
walk-rampascent,3,6.008163e+01
walk-rampascent,3,8.506122e+01
rampascent,3,1.004219e+01
rampascent,3,3.502110e+01
rampascent,3,6.008439e+01
rampascent,3,8.506329e+01
rampascent,3,1.003160e+01
rampascent,3,3.507109e+01
rampascent,3,6.003160e+01
rampascent,3,8.507109e+01
rampascent-walk,3,1.006813e+01
rampascent-walk,3,3.504921e+01
rampascent-walk,3,6.003028e+01
rampascent-walk,3,8.501136e+01
idle,3,1.001441e+01
idle,3,3.501441e+01
idle,3,6.001441e+01
idle,3,8.501441e+01
idle,3,1.001828e+01
idle,3,3.502742e+01
idle,3,6.003656e+01
idle,3,8.500914e+01
walk-rampdescent,3,1.007371e+01
walk-rampdescent,3,3.505324e+01
walk-rampdescent,3,6.003276e+01
walk-rampdescent,3,8.501229e+01
rampdescent,3,1.009091e+01
rampdescent,3,3.509091e+01
rampdescent,3,6.009091e+01
rampdescent,3,8.509091e+01
rampdescent,3,1.009009e+01
rampdescent,3,3.504505e+01
rampdescent,3,6.009009e+01
rampdescent,3,8.504505e+01
rampdescent,3,1.000886e+01
rampdescent,3,3.507529e+01
rampdescent,3,6.005314e+01
rampdescent,3,8.503100e+01
rampdescent-walk,3,1.006776e+01
rampdescent-walk,3,3.504356e+01
rampdescent-walk,3,6.001936e+01
rampdescent-walk,3,8.509197e+01
idle,4,3.508065e+01
idle,4,6.008065e+01
idle,4,8.508065e+01
walk-rampascent,4,1.001656e+01
walk-rampascent,4,3.501656e+01
walk-rampascent,4,6.001656e+01
walk-rampascent,4,8.501656e+01
rampascent,4,1.003460e+01
rampascent,4,3.503460e+01
rampascent,4,6.003460e+01
rampascent,4,8.503460e+01
rampascent,4,1.001656e+01
rampascent,4,3.501656e+01
rampascent,4,6.001656e+01
rampascent,4,8.501656e+01
rampascent-walk,4,1.006494e+01
rampascent-walk,4,3.506494e+01
rampascent-walk,4,6.006494e+01
rampascent-walk,4,8.506494e+01
idle,4,1.000622e+01
idle,4,3.505283e+01
idle,4,6.003729e+01
idle,4,8.502175e+01
idle,4,1.004367e+01
idle,4,3.502183e+01
idle,4,6.004367e+01
idle,4,8.502183e+01
idle,4,1.005819e+01
idle,4,3.507897e+01
idle,4,6.001663e+01
idle,4,8.503741e+01
walk-rampdescent,4,1.002639e+01
walk-rampdescent,4,3.500440e+01
walk-rampdescent,4,6.007036e+01
walk-rampdescent,4,8.504837e+01
rampdescent,4,1.002639e+01
rampdescent,4,3.500440e+01
rampdescent,4,6.007036e+01
rampdescent,4,8.504837e+01
rampdescent,4,1.004367e+01
rampdescent,4,3.502183e+01
rampdescent,4,6.008734e+01
rampdescent,4,8.506550e+01
rampdescent-walk,4,1.005338e+01
rampdescent-walk,4,3.505338e+01
rampdescent-walk,4,6.005338e+01
rampdescent-walk,4,8.505338e+01
idle,4,1.004566e+01
idle,4,3.515982e+01
idle,4,6.004566e+01
idle,4,8.515982e+01
idle,5,3.505831e+01
idle,5,6.005831e+01
idle,5,8.505831e+01
walk-rampascent,5,1.004942e+01
walk-rampascent,5,3.500824e+01
walk-rampascent,5,6.004942e+01
walk-rampascent,5,8.500824e+01
rampascent,5,1.002549e+01
rampascent,5,3.500425e+01
rampascent,5,6.006797e+01
rampascent,5,8.504673e+01
rampascent,5,1.004184e+01
rampascent,5,3.506276e+01
rampascent,5,6.008368e+01
rampascent,5,8.502092e+01
rampascent-walk,5,1.005677e+01
rampascent-walk,5,3.503650e+01
rampascent-walk,5,6.001622e+01
rampascent-walk,5,8.507705e+01
idle,5,1.008621e+01
idle,5,3.508621e+01
idle,5,6.008621e+01
idle,5,8.508621e+01
idle,5,1.003501e+01
idle,5,3.500583e+01
idle,5,6.003501e+01
idle,5,8.500583e+01
idle,5,1.007621e+01
idle,5,3.505504e+01
idle,5,6.003387e+01
idle,5,8.501270e+01
walk-rampdescent,5,1.006178e+01
walk-rampdescent,5,3.503972e+01
walk-rampdescent,5,6.001765e+01
walk-rampdescent,5,8.508385e+01
rampdescent,5,1.000910e+01
rampdescent,5,3.503185e+01
rampdescent,5,6.005460e+01
rampdescent,5,8.507734e+01
rampdescent,5,1.004405e+01
rampdescent,5,3.506608e+01
rampdescent,5,6.008811e+01
rampdescent,5,8.502203e+01
rampdescent-walk,5,1.005199e+01
rampdescent-walk,5,3.500867e+01
rampdescent-walk,5,6.005199e+01
rampdescent-walk,5,8.500867e+01
idle,5,1.006289e+01
idle,5,3.501048e+01
idle,5,6.016771e+01
idle,5,8.511530e+01
idle,1,6.002345e+01
idle,1,8.511137e+01
walk-rampascent,1,1.005414e+01
walk-rampascent,1,3.503480e+01
walk-rampascent,1,6.001547e+01
walk-rampascent,1,8.507347e+01
rampascent,1,1.002593e+01
rampascent,1,3.500432e+01
rampascent,1,6.006914e+01
rampascent,1,8.504754e+01
rampascent,1,1.001698e+01
rampascent,1,3.505942e+01
rampascent,1,6.001698e+01
rampascent,1,8.505942e+01
rampascent,1,1.007494e+01
rampascent,1,3.505412e+01
rampascent,1,6.003331e+01
rampascent,1,8.501249e+01
rampascent-walk,1,1.008621e+01
rampascent-walk,1,3.508621e+01
rampascent-walk,1,6.008621e+01
rampascent-walk,1,8.508621e+01
idle,1,1.001340e+01
idle,1,3.501819e+01
idle,1,6.000383e+01
idle,1,8.500862e+01
walk-rampdescent,1,1.005155e+01
walk-rampdescent,1,3.505155e+01
walk-rampdescent,1,6.005155e+01
walk-rampdescent,1,8.505155e+01
rampdescent,1,1.001821e+01
rampdescent,1,3.506375e+01
rampdescent,1,6.001821e+01
rampdescent,1,8.506375e+01
rampdescent,1,1.003683e+01
rampdescent,1,3.508287e+01
rampdescent,1,6.003683e+01
rampdescent,1,8.508287e+01
rampdescent,1,1.005435e+01
rampdescent,1,3.505435e+01
rampdescent,1,6.005435e+01
rampdescent,1,8.505435e+01
rampdescent-walk,1,1.008230e+01
rampdescent-walk,1,3.508230e+01
rampdescent-walk,1,6.008230e+01
rampdescent-walk,1,8.508230e+01
idle,2,6.005057e+01
idle,2,8.508217e+01
walk-rampascent,2,1.005771e+01
walk-rampascent,2,3.503710e+01
walk-rampascent,2,6.001649e+01
walk-rampascent,2,8.507832e+01
rampascent,2,1.001742e+01
rampascent,2,3.501742e+01
rampascent,2,6.001742e+01
rampascent,2,8.501742e+01
rampascent,2,1.007752e+01
rampascent,2,3.505599e+01
rampascent,2,6.003445e+01
rampascent,2,8.501292e+01
rampascent,2,1.003344e+01
rampascent,2,3.503344e+01
rampascent,2,6.003344e+01
rampascent,2,8.503344e+01
rampascent-walk,2,1.002244e+01
rampascent-walk,2,3.500374e+01
rampascent-walk,2,6.005984e+01
rampascent-walk,2,8.504114e+01
idle,2,1.001647e+01
idle,2,3.501647e+01
idle,2,6.001647e+01
idle,2,8.501647e+01
walk-rampdescent,2,1.000807e+01
walk-rampdescent,2,3.502825e+01
walk-rampdescent,2,6.004843e+01
walk-rampdescent,2,8.506860e+01
rampdescent,2,1.000927e+01
rampdescent,2,3.503244e+01
rampdescent,2,6.005561e+01
rampdescent,2,8.507878e+01
rampdescent,2,1.006019e+01
rampdescent,2,3.508169e+01
rampdescent,2,6.001720e+01
rampdescent,2,8.503869e+01
rampdescent,2,1.003490e+01
rampdescent,2,3.507853e+01
rampdescent,2,6.003490e+01
rampdescent,2,8.507853e+01
rampdescent-walk,2,1.003071e+01
rampdescent-walk,2,3.500512e+01
rampdescent-walk,2,6.008188e+01
rampdescent-walk,2,8.505629e+01
idle,3,6.009975e+01
idle,3,8.503741e+01
walk-rampascent,3,1.002368e+01
walk-rampascent,3,3.504341e+01
walk-rampascent,3,6.006314e+01
walk-rampascent,3,8.500395e+01
rampascent,3,1.000834e+01
rampascent,3,3.502919e+01
rampascent,3,6.005004e+01
rampascent,3,8.507089e+01
rampascent,3,1.002549e+01
rampascent,3,3.500425e+01
rampascent,3,6.006797e+01
rampascent,3,8.504673e+01
rampascent,3,1.007937e+01
rampascent,3,3.507937e+01
rampascent,3,6.007937e+01
rampascent,3,8.507937e+01
rampascent-walk,3,1.002261e+01
rampascent-walk,3,3.504145e+01
rampascent-walk,3,6.006029e+01
rampascent-walk,3,8.500377e+01
idle,3,1.000705e+01
idle,3,3.502467e+01
idle,3,6.004228e+01
idle,3,8.505990e+01
idle,3,1.007752e+01
idle,3,3.507752e+01
idle,3,6.007752e+01
idle,3,8.507752e+01
idle,3,1.004202e+01
idle,3,3.504202e+01
idle,3,6.004202e+01
idle,3,8.504202e+01
idle,3,1.000935e+01
idle,3,3.507951e+01
idle,3,6.005613e+01
idle,3,8.503274e+01
walk-rampdescent,3,1.004115e+01
walk-rampdescent,3,3.506173e+01
walk-rampdescent,3,6.008230e+01
walk-rampdescent,3,8.502058e+01
rampdescent,3,1.005535e+01
rampdescent,3,3.505535e+01
rampdescent,3,6.005535e+01
rampdescent,3,8.505535e+01
rampdescent,3,1.008249e+01
rampdescent,3,3.501375e+01
rampdescent,3,6.003666e+01
rampdescent,3,8.505958e+01
rampdescent,3,1.008029e+01
rampdescent,3,3.505798e+01
rampdescent,3,6.003568e+01
rampdescent,3,8.501338e+01
rampdescent-walk,3,1.006979e+01
rampdescent-walk,3,3.509472e+01
rampdescent-walk,3,6.001994e+01
rampdescent-walk,3,8.504487e+01
idle,4,6.012270e+01
idle,4,8.503067e+01
walk-rampascent,4,1.003891e+01
walk-rampascent,4,3.501946e+01
walk-rampascent,4,6.007782e+01
walk-rampascent,4,8.505837e+01
rampascent,4,1.001742e+01
rampascent,4,3.501742e+01
rampascent,4,6.001742e+01
rampascent,4,8.501742e+01
rampascent,4,1.004405e+01
rampascent,4,3.506608e+01
rampascent,4,6.008811e+01
rampascent,4,8.502203e+01
rampascent,4,1.006826e+01
rampascent,4,3.506826e+01
rampascent,4,6.006826e+01
rampascent,4,8.506826e+01
rampascent-walk,4,1.007371e+01
rampascent-walk,4,3.505324e+01
rampascent-walk,4,6.003276e+01
rampascent-walk,4,8.501229e+01
idle,4,1.011730e+01
idle,4,3.504399e+01
idle,4,6.011730e+01
idle,4,8.504399e+01
idle,4,1.010720e+01
idle,4,3.506891e+01
idle,4,6.003063e+01
idle,4,8.514548e+01
idle,4,1.007194e+01
idle,4,3.501199e+01
idle,4,6.003197e+01
idle,4,8.505196e+01
idle,4,1.005819e+01
idle,4,3.507897e+01
idle,4,6.001663e+01
idle,4,8.503741e+01
walk-rampdescent,4,1.005771e+01
walk-rampdescent,4,3.503710e+01
walk-rampdescent,4,6.001649e+01
walk-rampdescent,4,8.507832e+01
rampdescent,4,1.004444e+01
rampdescent,4,3.502222e+01
rampdescent,4,6.008889e+01
rampdescent,4,8.506667e+01
rampdescent,4,1.004566e+01
rampdescent,4,3.506849e+01
rampdescent,4,6.009132e+01
rampdescent,4,8.502283e+01
rampdescent,4,1.005291e+01
rampdescent,4,3.500882e+01
rampdescent,4,6.005291e+01
rampdescent,4,8.500882e+01
rampdescent-walk,4,1.005859e+01
rampdescent-walk,4,3.505859e+01
rampdescent-walk,4,6.005859e+01
rampdescent-walk,4,8.505859e+01
idle,5,6.012270e+01
idle,5,8.503067e+01
walk-rampascent,5,1.002349e+01
walk-rampascent,5,3.500392e+01
walk-rampascent,5,6.006265e+01
walk-rampascent,5,8.504307e+01
rampascent,5,1.004219e+01
rampascent,5,3.502110e+01
rampascent,5,6.008439e+01
rampascent,5,8.506329e+01
rampascent,5,1.004184e+01
rampascent,5,3.506276e+01
rampascent,5,6.008368e+01
rampascent,5,8.502092e+01
rampascent,5,1.004942e+01
rampascent,5,3.500824e+01
rampascent,5,6.004942e+01
rampascent,5,8.500824e+01
rampascent-walk,5,1.008264e+01
rampascent-walk,5,3.504132e+01
rampascent-walk,5,6.008264e+01
rampascent-walk,5,8.504132e+01
idle,5,1.004942e+01
idle,5,3.500824e+01
idle,5,6.004942e+01
idle,5,8.500824e+01
idle,5,1.002950e+01
idle,5,3.500492e+01
idle,5,6.007866e+01
idle,5,8.505408e+01
idle,5,1.004082e+01
idle,5,3.502041e+01
idle,5,6.008163e+01
idle,5,8.506122e+01
walk-rampdescent,5,1.004747e+01
walk-rampdescent,5,3.504747e+01
walk-rampdescent,5,6.004747e+01
walk-rampdescent,5,8.504747e+01
rampdescent,5,1.000848e+01
rampdescent,5,3.502969e+01
rampdescent,5,6.005089e+01
rampdescent,5,8.507209e+01
rampdescent,5,1.000848e+01
rampdescent,5,3.502969e+01
rampdescent,5,6.005089e+01
rampdescent,5,8.507209e+01
rampdescent,5,1.007371e+01
rampdescent,5,3.505324e+01
rampdescent,5,6.003276e+01
rampdescent,5,8.501229e+01
rampdescent-walk,5,1.003009e+01
rampdescent-walk,5,3.500502e+01
rampdescent-walk,5,6.008024e+01
rampdescent-walk,5,8.505517e+01
idle,1,3.503591e+01
idle,1,6.001596e+01
idle,1,8.507582e+01
walk-rampascent,1,1.000788e+01
walk-rampascent,1,3.506698e+01
walk-rampascent,1,6.004728e+01
walk-rampascent,1,8.502758e+01
rampascent,1,1.000841e+01
rampascent,1,3.507149e+01
rampascent,1,6.005046e+01
rampascent,1,8.502944e+01
rampascent,1,1.005868e+01
rampascent,1,3.503772e+01
rampascent,1,6.001676e+01
rampascent,1,8.507963e+01
rampascent-walk,1,1.003953e+01
rampascent-walk,1,3.501976e+01
rampascent-walk,1,6.007905e+01
rampascent-walk,1,8.505929e+01
idle,1,1.000764e+01
idle,1,3.506494e+01
idle,1,6.004584e+01
idle,1,8.502674e+01
idle,1,1.001119e+01
idle,1,3.501119e+01
idle,1,6.001119e+01
idle,1,8.501119e+01
idle,1,1.003317e+01
idle,1,3.507463e+01
idle,1,6.003317e+01
idle,1,8.507463e+01
walk-rampdescent,1,1.000886e+01
walk-rampdescent,1,3.507529e+01
walk-rampdescent,1,6.005314e+01
walk-rampdescent,1,8.503100e+01
rampdescent,1,1.003584e+01
rampdescent,1,3.503584e+01
rampdescent,1,6.003584e+01
rampdescent,1,8.503584e+01
rampdescent,1,1.005386e+01
rampdescent,1,3.500898e+01
rampdescent,1,6.005386e+01
rampdescent,1,8.500898e+01
rampdescent-walk,1,1.000870e+01
rampdescent-walk,1,3.507398e+01
rampdescent-walk,1,6.005222e+01
rampdescent-walk,1,8.503046e+01
idle,1,1.009346e+01
idle,1,3.514019e+01
idle,1,6.018692e+01
idle,1,8.504673e+01
idle,2,3.501144e+01
idle,2,6.003051e+01
idle,2,8.504958e+01
walk-rampascent,2,1.004444e+01
walk-rampascent,2,3.502222e+01
walk-rampascent,2,6.008889e+01
walk-rampascent,2,8.506667e+01
rampascent,2,1.004525e+01
rampascent,2,3.502262e+01
rampascent,2,6.009050e+01
rampascent,2,8.506787e+01
rampascent,2,1.004149e+01
rampascent,2,3.502075e+01
rampascent,2,6.008299e+01
rampascent,2,8.506224e+01
rampascent-walk,2,1.007874e+01
rampascent-walk,2,3.503937e+01
rampascent-walk,2,6.007874e+01
rampascent-walk,2,8.503937e+01
idle,2,1.006993e+01
idle,2,3.503497e+01
idle,2,6.006993e+01
idle,2,8.503497e+01
idle,2,1.001276e+01
idle,2,3.501276e+01
idle,2,6.001276e+01
idle,2,8.501276e+01
idle,2,1.006565e+01
idle,2,3.501094e+01
idle,2,6.002918e+01
idle,2,8.504741e+01
walk-rampdescent,2,1.005435e+01
walk-rampdescent,2,3.505435e+01
walk-rampdescent,2,6.005435e+01
walk-rampdescent,2,8.505435e+01
rampdescent,2,1.000918e+01
rampdescent,2,3.507805e+01
rampdescent,2,6.005510e+01
rampdescent,2,8.503214e+01
rampdescent,2,1.003552e+01
rampdescent,2,3.507993e+01
rampdescent,2,6.003552e+01
rampdescent,2,8.507993e+01
rampdescent-walk,2,1.006233e+01
rampdescent-walk,2,3.508459e+01
rampdescent-walk,2,6.001781e+01
rampdescent-walk,2,8.504007e+01
idle,2,1.003788e+01
idle,2,3.503788e+01
idle,2,6.003788e+01
idle,2,8.503788e+01
idle,3,3.506494e+01
idle,3,6.008658e+01
idle,3,8.502165e+01
walk-rampascent,3,1.007752e+01
walk-rampascent,3,3.505599e+01
walk-rampascent,3,6.003445e+01
walk-rampascent,3,8.501292e+01
rampascent,3,1.007432e+01
rampascent,3,3.501239e+01
rampascent,3,6.003303e+01
rampascent,3,8.505367e+01
rampascent,3,1.004115e+01
rampascent,3,3.506173e+01
rampascent,3,6.008230e+01
rampascent,3,8.502058e+01
rampascent-walk,3,1.000752e+01
rampascent-walk,3,3.506396e+01
rampascent-walk,3,6.004515e+01
rampascent-walk,3,8.502634e+01
idle,3,1.004885e+01
idle,3,3.503140e+01
idle,3,6.001396e+01
idle,3,8.506629e+01
idle,3,1.004464e+01
idle,3,3.504464e+01
idle,3,6.004464e+01
idle,3,8.504464e+01
idle,3,1.008264e+01
idle,3,3.504132e+01
idle,3,6.008264e+01
idle,3,8.504132e+01
walk-rampdescent,3,1.005291e+01
walk-rampdescent,3,3.500882e+01
walk-rampdescent,3,6.005291e+01
walk-rampdescent,3,8.500882e+01
rampdescent,3,1.004444e+01
rampdescent,3,3.502222e+01
rampdescent,3,6.008889e+01
rampdescent,3,8.506667e+01
rampdescent,3,1.001821e+01
rampdescent,3,3.506375e+01
rampdescent,3,6.001821e+01
rampdescent,3,8.506375e+01
rampdescent-walk,3,1.007752e+01
rampdescent-walk,3,3.505599e+01
rampdescent-walk,3,6.003445e+01
rampdescent-walk,3,8.501292e+01
idle,3,1.014493e+01
idle,3,3.514493e+01
idle,3,6.014493e+01
idle,3,8.514493e+01
idle,4,3.502075e+01
idle,4,6.008299e+01
idle,4,8.506224e+01
walk-rampascent,4,1.000834e+01
walk-rampascent,4,3.502919e+01
walk-rampascent,4,6.005004e+01
walk-rampascent,4,8.507089e+01
rampascent,4,1.001698e+01
rampascent,4,3.505942e+01
rampascent,4,6.001698e+01
rampascent,4,8.505942e+01
rampascent,4,1.008333e+01
rampascent,4,3.508333e+01
rampascent,4,6.008333e+01
rampascent,4,8.508333e+01
rampascent-walk,4,1.006390e+01
rampascent-walk,4,3.506390e+01
