feat_19,feat_5,feat_13,feat_157,feat_244,feat_200,feat_14,feat_20,feat_197,feat_234,feat_205,feat_153,feat_158,feat_173,feat_187,feat_169,feat_16,feat_246,feat_2,feat_189,feat_4,feat_109,feat_249,feat_178,feat_3,feat_8,feat_148,feat_7,feat_225,feat_222,feat_155,feat_183,feat_139,feat_108,feat_12,feat_144,feat_180,feat_199,feat_177,feat_188,feat_21,feat_140,feat_218,feat_25,feat_233,feat_209,feat_10,feat_170,feat_242,feat_235,feat_168,feat_204,feat_138,feat_164,feat_210,feat_59,feat_175,feat_57,feat_15,feat_243,feat_145,feat_174,feat_84,feat_149,feat_219,feat_223,feat_240,feat_224,feat_86,feat_76,feat_73,feat_107,feat_193,feat_77,feat_83,feat_220,feat_78,feat_237,feat_239
2.098837,0.153347,-1.093061,0.427605,0.075500,0.198782,0.061486,0.464225,0.242960,-0.083848,0.107426,0.230930,-0.540086,-0.137584,0.203963,0.630644,-0.697554,-0.372428,1.293585,0.553231,1.436955,-1.039013,0.413978,-0.267157,0.996930,-0.912989,-0.300087,0.791921,0.180929,0.197916,0.105287,-0.195738,-0.030709,0.909607,0.779513,0.589455,0.032108,0.504031,0.212126,-0.024121,2.024044,0.040306,-0.084692,0.226709,-0.287391,0.403564,0.084946,0.082826,0.087019,0.049066,0.333104,0.078994,-0.217588,0.302446,0.086794,-1.120933,0.076923,-0.970014,0.298912,-0.378726,0.111738,0.235452,194.000000,-0.028473,0.550120,-0.236837,0.138455,0.343579,237.885262,196.939626,0.322770,-1.069784,-0.420116,-0.854758,0.420133,0.181195,0.865955,0.487203,0.839949
2.240344,0.236299,-0.795659,0.418216,1.171233,0.802890,-0.190436,0.182613,0.689899,1.246933,0.402048,-1.164094,-0.836296,-2.460606,0.293731,2.046578,-0.221022,-0.941309,1.066955,0.707221,1.347672,-1.353479,1.098981,-0.556025,0.662647,-1.080599,-1.429179,0.760861,0.212594,0.407510,0.291262,-1.031828,0.711062,1.539788,0.447276,1.207250,0.138311,2.321660,0.263588,0.013599,1.611684,0.199731,-1.103274,0.342432,-1.156478,1.660108,0.148222,0.633052,0.337427,0.503346,-2.440665,1.309778,-1.011500,0.213157,0.551689,-1.506863,0.432138,-1.863506,0.169971,-0.941309,0.262755,1.993716,120.000000,2.310750,1.092322,-0.884014,0.545566,-0.046803,714.901866,961.778651,3.718410,-1.554159,-1.171648,-1.710592,2.645430,0.366597,1.878506,0.644931,1.061027
1.932236,0.104586,-0.385223,0.416396,1.077805,0.386348,0.660512,0.370223,0.235787,1.246933,0.079810,0.309160,-0.441311,-0.212453,0.296324,0.574750,0.660512,-0.022379,0.754848,0.417892,0.928699,-2.098009,1.436218,-0.331363,0.590479,-1.080599,-0.189473,0.781651,0.077370,0.628422,0.021787,-0.151291,-0.056199,2.374397,0.312108,0.110267,0.034016,0.534420,0.196528,0.220024,0.649428,0.007557,-0.872591,0.141674,-0.582047,1.660108,0.176083,0.041816,0.453430,0.402284,0.126563,-0.150093,-0.119290,0.064136,0.307488,-1.411989,0.058654,-1.678633,0.318899,-1.087312,0.021015,0.164242,87.000000,-0.155851,0.834550,-0.884014,0.274730,-0.448442,651.443811,780.858346,2.790751,-2.118566,-0.291498,-1.616275,2.353742,0.300108,1.656039,0.239470,0.290742
1.551663,0.377952,-1.541852,0.366908,0.661072,0.460981,0.706917,0.250545,0.364561,0.525417,0.214546,-0.154214,-0.532323,-0.165329,0.536916,0.601910,-1.541852,0.016890,0.625279,0.922525,0.932133,-2.118214,1.381832,-0.701608,-0.319087,-1.082981,-0.371862,0.603952,0.609150,0.586364,0.369893,0.098386,0.053757,2.382731,0.596072,1.095200,0.164718,0.166515,0.221682,0.225206,1.551663,0.232634,-0.403780,0.348151,-0.910471,0.641463,0.397037,0.269956,0.246891,0.406921,-0.224350,0.394934,-1.064638,0.053227,0.188282,-1.218035,0.104858,-1.344281,0.614413,-0.216078,0.196886,0.527187,148.000000,0.871756,1.532199,-0.669156,0.529092,0.998158,414.533131,347.074088,0.849095,-2.122707,-0.503789,-1.444107,0.980193,0.365015,1.538913,0.455971,0.120387
4.069611,0.670230,-2.738539,0.504588,0.526636,0.684830,0.640734,1.232787,0.589009,0.393373,0.220266,-0.154214,-0.761635,-0.315756,0.532202,1.089032,-2.045064,-0.293673,0.962247,0.922525,1.725608,-1.345119,0.858933,-0.701608,-0.319087,-1.181041,-0.539967,0.677209,0.358967,0.546550,0.391236,-0.779170,0.130629,1.422716,1.704826,1.095200,0.191287,1.048582,0.264551,-0.416477,4.041000,0.268251,-0.403780,0.465523,-0.910471,0.641463,0.474635,0.477069,0.241050,0.204566,-0.224350,0.394934,-1.064638,0.552039,0.168903,-1.229519,0.154328,-0.983330,1.126523,-0.365100,0.256135,0.527187,132.000000,0.871756,1.532199,-0.387001,0.422617,0.998158,311.865070,187.543876,0.346390,-1.647454,-0.503789,-1.515517,0.851158,0.433369,1.524178,0.621697,0.035043
4.069611,0.184351,-2.597228,0.562484,0.442375,0.892129,-0.677540,0.482398,0.885774,1.050422,0.353289,-0.919176,-1.158440,-1.197718,0.276884,1.982404,-0.677540,-1.593488,1.814481,0.659583,2.141319,-1.304911,1.051919,-1.019823,1.498565,-2.065507,-0.913449,1.443320,0.351251,0.615939,0.198052,-0.409189,0.405946,1.430116,1.589829,0.711872,0.236611,2.008299,0.441346,-0.416477,2.408340,0.273722,-1.610794,0.390017,-1.034435,1.247202,0.435104,0.784673,0.359165,0.557091,-3.157516,1.301698,-1.727110,0.549279,0.426670,-1.707023,0.279162,-1.777139,0.549984,-1.854505,0.226613,0.696738,78.000000,1.205827,0.751806,-1.038699,0.554191,0.273745,819.431146,1247.440695,5.021224,-1.515851,-0.829246,-1.898432,3.281521,0.563056,2.229067,0.509998,0.514888
3.302148,0.316591,-1.120456,0.406360,0.380356,0.465469,0.453663,0.653813,0.320368,1.050422,0.055325,0.191616,-0.479428,-0.444383,0.208373,0.610562,0.452260,0.380356,1.475403,0.352945,2.078895,-1.095480,1.051919,-0.384428,1.129342,-2.065507,-0.188716,1.461705,0.159341,0.716188,0.056693,-0.409189,-0.020930,1.113249,0.433913,0.024514,0.055078,1.317612,0.225480,0.101435,1.057289,0.010727,-1.537786,0.363899,-0.779231,1.247202,0.349111,0.089427,0.565986,0.478404,0.141998,-0.095662,-0.120222,0.068589,0.387633,-1.625909,0.108213,-1.778777,0.494851,-1.854505,0.020374,0.138509,95.000000,-0.114863,0.751806,-1.036081,0.317174,-0.401070,710.189817,978.609204,3.332762,-1.321475,-0.407858,-1.716896,2.448213,0.500066,2.000279,0.477032,0.062935
1.658518,0.376058,-1.507356,0.347104,1.348800,0.409298,0.545485,0.234085,0.340144,1.460697,0.221947,0.104713,-0.542405,-0.200388,0.489371,0.579503,-1.507356,0.804286,0.955027,0.986264,1.308668,-2.897269,0.828347,-0.709685,0.168658,-1.397945,-0.356404,0.958274,0.574560,0.566430,0.217497,0.140336,0.085546,3.020899,0.460667,0.890283,0.168929,0.273983,0.240040,0.132895,1.658518,0.226119,-0.309387,0.284637,-1.314729,0.594529,0.516219,0.237575,0.473937,0.612772,-0.225413,0.400427,-0.853610,0.059205,0.154091,-1.079819,0.107647,-1.261196,0.543615,-0.777889,0.166492,0.521636,141.000000,0.566113,1.333652,-0.768547,0.407262,0.901271,415.223861,399.993719,0.928572,-2.343915,-0.752124,-1.546161,1.047010,0.289234,1.737414,0.431378,0.062935
3.895399,0.514854,-2.806576,0.494472,1.348800,0.630807,0.429186,1.079265,0.560820,1.460697,0.234281,0.040982,-0.774820,-0.394604,0.528769,1.056695,-1.968515,-0.067379,0.992516,0.986264,1.715953,-0.776865,0.823862,-0.709685,0.168658,-1.290130,-0.430995,0.679858,0.366690,0.498148,0.262643,-0.795058,0.157153,0.849375,1.779546,0.890283,0.207953,1.004500,0.274120,-0.424452,3.876418,0.271267,-0.323497,0.434425,-1.314729,0.594529,0.418355,0.425217,0.350294,0.519854,-0.225413,0.400427,-0.853610,0.556775,0.152591,-1.185512,0.174491,-0.924968,1.035060,-0.154014,0.253172,0.521636,123.000000,0.566113,1.333652,-0.407538,0.391248,0.954081,365.986795,199.484044,0.347059,-1.298892,-0.752124,-1.513499,1.057751,0.397436,1.406027,0.444191,0.082263
3.895399,0.177140,-2.476106,0.542682,0.739309,0.902515,-0.581360,0.553699,0.868208,0.898231,0.337748,-0.923494,-1.309092,-1.470115,0.272966,2.553090,-0.581360,-0.581052,1.874288,1.240718,2.157257,-1.259313,0.752932,-1.118852,1.646800,-2.164547,-1.072332,1.550281,0.268275,0.617186,0.211558,-1.192757,1.133878,1.473064,1.402329,1.771224,0.349623,2.330973,0.480866,-0.453719,2.119914,0.359979,-1.581047,0.374871,-1.071332,1.483466,0.481041,1.002731,0.287415,0.535847,-4.705313,1.295423,-1.475023,0.604258,0.437686,-1.695955,0.362657,-1.856128,0.531214,-1.131006,0.345311,1.382506,94.000000,2.104610,1.377531,-1.112419,0.501617,-0.051394,840.399057,1284.367004,5.418913,-1.550049,-1.144413,-1.823113,3.113747,0.542641,2.060832,0.403984,0.254624
