label,trial,gait
idle,1,3.501048e+01
idle,1,6.002795e+01
idle,1,8.504542e+01
walk-stairascent,1,1.006944e+01
walk-stairascent,1,3.506944e+01
walk-stairascent,1,6.006944e+01
walk-stairascent,1,8.506944e+01
stairascent,1,1.004219e+01
stairascent,1,3.502110e+01
stairascent,1,6.008439e+01
stairascent,1,8.506329e+01
stairascent-walk,1,1.005706e+01
stairascent-walk,1,3.502140e+01
stairascent-walk,1,6.005706e+01
stairascent-walk,1,8.502140e+01
idle,1,1.003071e+01
idle,1,3.500512e+01
idle,1,6.008188e+01
idle,1,8.505629e+01
idle,1,1.007839e+01
idle,1,3.505039e+01
idle,1,6.002240e+01
idle,1,8.510638e+01
idle,1,1.010576e+01
idle,1,3.501763e+01
idle,1,6.004700e+01
idle,1,8.507638e+01
idle,1,1.008065e+01
idle,1,3.508065e+01
idle,1,6.008065e+01
idle,1,8.508065e+01
walk-stairdescent,1,1.000820e+01
walk-stairdescent,1,3.502871e+01
walk-stairdescent,1,6.004922e+01
walk-stairdescent,1,8.506973e+01
stairdescent,1,1.002838e+01
stairdescent,1,3.500473e+01
stairdescent,1,6.007569e+01
stairdescent,1,8.505203e+01
stairdescent-walk,1,1.001616e+01
stairdescent-walk,1,3.505654e+01
stairdescent-walk,1,6.001616e+01
stairdescent-walk,1,8.505654e+01
idle,1,1.013645e+01
idle,1,3.508772e+01
idle,1,6.003899e+01
idle,1,8.518519e+01
idle,2,3.500380e+01
idle,2,6.006074e+01
idle,2,8.504176e+01
walk-stairascent,2,1.001712e+01
walk-stairascent,2,3.501712e+01
walk-stairascent,2,6.001712e+01
walk-stairascent,2,8.501712e+01
stairascent,2,1.003401e+01
stairascent,2,3.503401e+01
stairascent,2,6.003401e+01
stairascent,2,8.503401e+01
stairascent-walk,2,1.004673e+01
stairascent-walk,2,3.504673e+01
stairascent-walk,2,6.004673e+01
stairascent-walk,2,8.504673e+01
idle,2,1.005181e+01
idle,2,3.502591e+01
idle,2,6.010363e+01
idle,2,8.507772e+01
idle,2,1.001805e+01
idle,2,3.501805e+01
idle,2,6.001805e+01
idle,2,8.501805e+01
