feat_3,feat_12,feat_33,feat_155,feat_187,feat_245,feat_37,feat_5,feat_19,feat_180,feat_185,feat_255,feat_189,feat_149,feat_230,feat_175,feat_145,feat_254,feat_39,feat_169,feat_164,feat_213,feat_107,feat_194,feat_163,feat_198,feat_229,feat_205,feat_18,feat_223,feat_139,feat_25,feat_36,feat_40,feat_127,feat_190,feat_210,feat_28,feat_158,feat_13,feat_15,feat_150,feat_250,feat_20,feat_144,feat_239,feat_218,feat_209
0.799364,1.016779,0.148123,0.037762,0.295409,0.071688,-0.701553,0.051967,-0.480555,0.064757,0.038517,0.262171,0.321101,-2.456513,0.399789,0.029155,0.239352,0.288054,-0.741350,2.005584,0.069424,-0.242542,-0.985236,-0.182725,-0.058231,1.023426,10.499921,0.034175,-0.838093,-0.083070,0.230885,0.089238,57.269110,0.834435,-1.285672,0.012793,0.026688,0.762132,-0.357775,0.945687,0.038743,0.105738,0.178734,0.099968,-5.300529,-5.986015,0.151603,0.617879
0.896721,1.024273,0.193199,0.006091,0.286616,0.060644,-0.799416,0.016018,-0.574727,0.064757,0.005219,0.037281,0.290078,-1.393140,0.399789,0.029155,0.239352,0.131055,-0.841082,1.457347,0.039865,-0.110442,-0.778776,-0.191555,0.006804,0.560014,6.479388,0.034175,-0.655812,-0.029585,0.253859,0.058139,68.767136,0.984602,-1.173529,0.001816,0.026688,1.268828,-0.354214,1.001544,0.011459,0.105738,0.029983,0.025940,-2.893457,-3.296639,0.159641,0.349482
0.977659,0.982580,0.299647,0.001354,0.285936,0.009676,-0.801228,0.014713,-0.579053,0.051818,0.001241,0.020933,0.292367,-0.330500,0.319911,0.023330,0.191529,0.124252,-0.859708,0.871755,0.039573,-0.090640,-0.849523,-0.200687,0.027356,0.096920,2.184918,0.027347,-0.682067,-0.022709,0.276817,0.024734,82.466789,0.867749,-1.321291,0.004351,0.021356,1.473886,-0.352973,0.963310,0.008181,0.084612,0.010359,0.026643,-0.488042,-0.609114,0.166442,0.062799
1.035711,0.936482,0.187510,0.002365,0.276296,0.030786,-0.825784,0.011451,-0.547083,0.006636,0.006655,0.019937,0.284506,-0.076574,0.019341,0.004807,0.002611,0.151770,-0.852526,0.596153,0.039471,-0.122007,-0.880419,-0.180240,-0.066091,-0.041243,0.166691,0.016550,-0.661730,-0.054583,0.286073,0.077896,59.693119,0.850309,-1.147580,0.005616,0.024901,1.172633,-0.353551,0.921772,0.011309,0.000738,0.042706,0.028724,0.090193,0.133166,0.174677,-0.030470
-0.591240,0.828936,2.411587,0.367732,0.561468,1.034156,-1.176717,0.851342,-0.448678,0.212863,0.183412,0.759757,1.100388,1.359213,0.579371,0.325583,0.323132,2.161032,-1.145314,0.726666,0.385828,-1.022725,-1.935241,0.688401,-0.851034,-1.095178,0.897769,0.268887,-1.424403,-0.547390,0.489916,0.280247,709.581899,1.103236,-1.529667,0.257584,0.263466,2.602121,-0.720453,-0.723239,0.440202,0.265768,0.542550,0.285197,1.704957,1.596451,-0.485823,0.712143
-0.591240,1.032330,1.931700,0.579121,0.709118,0.711809,-1.454596,0.774775,1.776114,0.225930,0.336031,0.797273,1.100388,1.359213,0.830478,0.466299,0.434114,2.161032,-1.584870,0.790596,0.864672,-1.022725,-1.954157,1.591181,-0.887388,-1.095178,1.831161,0.301387,-1.424403,-0.546476,0.489916,0.618819,578.545957,1.444421,-1.788394,0.751684,0.336760,2.621808,-1.080662,-1.631121,1.098816,0.256132,0.774480,1.010964,1.704957,1.596451,-1.080118,0.712143
-0.118605,0.776730,0.223497,0.647768,0.790194,0.704180,-1.398960,0.410777,1.961639,0.624175,0.408678,0.954386,1.267149,1.856521,1.042037,0.463638,0.426140,1.426634,-1.561857,1.211558,1.389590,-0.895111,-2.263897,1.591181,-1.247599,-1.119569,1.831161,0.553457,-0.238614,-1.615581,1.704818,0.485092,67.809433,1.337360,-1.932826,0.852511,0.574067,1.393183,-1.080662,-1.631121,0.725744,0.500819,0.875050,0.527837,1.506743,1.108455,-1.765081,2.100915
-0.006385,0.319919,1.846287,0.412357,0.674341,0.730451,-1.326404,0.377240,1.961639,0.624233,0.412907,1.085145,1.267149,1.856521,1.016722,0.415146,0.364863,1.426634,-1.449330,1.211558,1.389590,-1.426087,-2.023843,1.511644,-1.247599,-1.119569,1.705882,0.543843,-0.465409,-1.615581,1.704818,0.236131,444.334372,1.251211,-1.387478,0.602553,0.656595,0.778841,-0.908317,-0.656693,0.352729,0.481463,0.733012,0.681932,1.506743,1.108455,-1.765081,2.100915
-1.329970,0.469195,2.382619,0.592147,0.763400,0.940251,-1.218811,0.740245,1.445688,0.501858,0.445878,1.518262,1.267149,1.856521,0.862234,0.526019,0.462159,3.758854,-1.149870,1.211558,1.229155,-2.244252,-1.443947,1.511644,-1.468251,-1.119569,1.705882,0.475417,-1.265111,-1.615581,1.704818,0.862811,714.066733,0.963453,-1.548687,0.263701,0.740127,2.668322,-0.841609,-0.765498,0.463907,0.408424,0.565106,0.997216,1.930324,1.270709,-1.765081,2.100915
-1.329970,0.761730,2.163799,0.662671,0.807892,0.881719,-1.412757,0.773181,0.954778,0.337498,0.471096,1.463007,1.246562,1.595136,1.080870,0.532506,0.490198,3.758854,-1.416277,0.714686,1.829698,-2.244252,-1.751267,1.417219,-1.468251,-1.089408,1.997025,0.477999,-1.265111,-1.367903,0.408308,0.904435,654.844332,1.149164,-1.641592,0.857692,0.633526,2.641109,-1.271513,-1.274617,0.832714,0.324062,0.732952,0.734071,1.930324,1.270709,-0.867018,1.272147
