feat_3,feat_12,feat_33,feat_155,feat_187,feat_245,feat_37,feat_5,feat_19,feat_180,feat_185,feat_255,feat_189,feat_149,feat_230,feat_175,feat_145,feat_254,feat_39,feat_169,feat_164,feat_213,feat_107,feat_194,feat_163,feat_198,feat_229,feat_205,feat_18,feat_223,feat_139,feat_25,feat_36,feat_40,feat_127,feat_190,feat_210,feat_28,feat_158,feat_13,feat_15,feat_150,feat_250,feat_20,feat_144,feat_239,feat_218,feat_209
0.143773,1.058226,0.538222,0.078144,0.262397,0.168414,-1.056538,0.054271,-0.160711,0.018138,0.038683,0.185232,0.279187,0.396895,0.322638,0.108081,0.038574,0.818952,-1.368024,0.121473,0.231941,-0.193772,-1.447405,-0.143265,0.116619,0.599049,7.869813,0.035283,-0.396829,-0.122957,0.730947,0.058645,355.191696,1.135011,-1.625168,0.009910,0.071890,1.052980,-0.344667,0.980763,0.040629,0.018666,0.086190,0.071767,-1.119230,31.433344,-0.115667,1.653182
0.310913,0.979035,0.523449,0.007663,0.237949,0.021127,-0.922431,0.052746,-0.156648,0.018138,0.003850,0.023034,0.240483,0.188251,0.322638,0.108081,0.038574,0.214750,-1.220421,0.394079,0.138557,-0.143279,-1.349871,-0.197065,0.124467,0.137251,4.263402,0.035283,-0.216800,-0.023290,0.412293,0.044893,315.819469,0.972547,-1.429233,0.001178,0.071890,1.040575,-0.336543,0.944966,0.012931,0.018666,0.059025,0.012701,-0.688053,16.509578,-0.112257,0.849606
0.359800,0.937021,0.551367,0.009729,0.236213,0.020644,-0.965135,0.031223,-0.101316,0.003185,0.008016,0.027943,0.243997,-0.033312,0.027948,0.016989,0.003062,0.227538,-1.253860,0.611424,0.140633,-0.132330,-1.337581,-0.195953,0.121706,-0.237033,0.433684,0.013896,-0.140490,-0.042929,0.073908,0.045392,270.760728,1.008024,-1.256425,0.004979,0.011424,1.159696,-0.334853,0.917324,0.009877,0.001480,0.039788,0.010092,-0.346030,0.661741,-0.122322,-0.003727
0.670722,0.799437,0.522072,0.017043,0.245537,0.041017,-1.174464,0.033650,-0.185598,0.003721,0.006390,0.070301,0.255377,-0.036215,0.012590,0.008478,0.001659,0.314843,-1.246312,0.618734,0.126850,-0.141846,-1.405678,-0.212385,0.119643,-0.236929,0.326560,0.010596,-0.250574,-0.052250,0.064641,0.042718,266.385480,1.158321,-1.375956,0.004656,0.014399,1.096497,-0.334116,0.781275,0.011692,0.000842,0.127509,0.012860,-0.346484,0.174449,-0.089305,-0.000338
0.389267,0.819127,4.084558,0.827193,0.527250,0.519837,-1.225557,0.529569,0.435279,0.186486,0.313907,0.553948,1.200732,1.640179,0.525782,0.412735,0.180575,1.326557,-1.272511,0.897846,0.545149,-0.552587,-1.945485,0.579054,-1.158827,-1.083468,0.800840,0.278623,-0.834584,-0.478293,0.661169,0.339894,1391.244087,1.150102,-1.770985,0.300122,0.356892,2.505679,-0.713466,-1.031173,0.615798,0.317163,0.807001,0.300610,0.543751,0.982153,-0.321438,0.727164
0.389267,0.688165,2.970778,0.935952,0.763316,0.420816,-1.383029,0.485239,1.674094,0.294716,0.356671,0.365697,1.200732,1.640179,0.730821,0.532941,0.192242,0.710053,-1.503358,0.897846,1.130339,-0.835306,-2.355791,1.222078,-1.158827,-1.083468,1.614916,0.377039,-0.834584,-0.462829,0.661169,0.388550,1052.754739,1.380035,-1.968848,0.819625,0.376937,2.475711,-1.084933,-1.152572,0.772039,0.339956,0.696547,0.959738,0.543751,0.982153,-0.517285,0.727164
0.105310,0.377640,0.649302,0.582096,0.765333,0.837724,-1.289839,0.514778,1.691861,0.391910,0.253038,1.132877,1.134205,1.663186,0.877011,0.350835,0.378699,4.536437,-1.192571,1.053708,1.130339,-1.208337,-1.470234,1.222078,-0.921601,-1.089940,1.614916,0.629501,0.940472,-1.171679,1.306664,0.189050,272.676055,1.234451,-1.884803,0.809625,0.412459,1.130654,-1.084933,-1.098442,0.476750,0.489801,0.968935,0.192971,1.761173,0.831982,-1.583066,1.036127
0.105310,0.425422,4.851535,0.495837,0.564730,0.574154,-1.248212,0.377729,1.691861,0.309393,0.241349,1.346628,1.134205,1.663186,0.861211,0.383559,0.367105,4.536437,-1.149729,1.053708,0.176499,-1.208337,-1.880494,-0.037711,-0.921601,-1.089940,1.401887,0.399270,-0.531210,-1.309093,1.306664,0.503743,1622.211996,1.185744,-1.553936,0.181348,0.436824,1.624482,-0.459716,-0.136295,0.335513,0.360587,0.945196,0.724135,1.761173,0.468923,-1.583066,1.036127
-1.669819,0.545975,5.133625,0.354370,0.628106,0.560639,-1.538623,0.878239,1.451368,0.159067,0.316563,0.733644,1.119961,0.780422,0.673737,0.277270,0.213350,0.903071,-1.595757,0.732655,0.157210,-0.768476,-1.874220,-0.037711,-0.925500,-1.089940,1.401887,0.281385,-1.105597,-1.309093,0.216061,0.538450,2072.641893,1.433284,-1.525180,0.219584,0.345662,1.753345,-0.858607,-0.636341,0.434781,0.192352,1.302642,0.782349,0.565753,1.425643,-1.583066,1.036127
-1.669819,0.652677,2.763549,0.445952,0.782980,0.439614,-1.544551,0.856082,1.441865,0.193508,0.373216,0.940368,1.119961,0.780422,0.798162,0.338558,0.236636,2.422578,-1.658728,0.906434,1.255738,-0.768476,-2.117522,1.418009,-0.925500,-1.085134,1.786553,0.311809,-1.105597,-0.918892,0.286050,0.774285,1129.444891,1.435679,-1.647639,0.834637,0.340882,1.540614,-1.153980,-1.098677,0.722604,0.188279,1.214331,0.889779,0.565753,1.425643,-0.691499,0.727183
0.158783,0.521402,0.672811,0.740638,0.874849,0.613558,-1.455928,0.318670,1.441865,0.513298,0.492262,0.720280,1.411275,1.058170,0.899105,0.450504,0.452207,1.675322,-1.506986,1.362929,1.255738,-1.042812,-2.052516,1.418009,-1.198858,-1.102816,1.786553,0.712622,0.423204,-1.130242,2.000670,0.350827,301.926057,1.391001,-1.806130,0.908400,0.593558,1.037432,-1.153980,-1.098677,0.618401,0.503501,0.669693,0.225173,0.979976,1.268075,-1.938201,1.737577
0.158783,0.578242,6.271793,0.637401,0.620211,0.478557,-1.379717,0.278116,1.122222,0.446195,0.494439,0.985468,1.411275,1.058170,0.974957,0.520030,0.404850,1.952591,-1.359265,1.362929,0.183659,-1.042812,-2.046740,0.094786,-1.198858,-1.102816,2.007880,0.557703,-0.803318,-1.665216,2.000670,0.676034,2019.018037,1.277321,-1.772363,0.273179,0.519061,2.029300,-0.700654,-0.102789,0.367452,0.395187,0.761771,0.655613,0.979976,1.268075,-1.938201,1.737577
-2.175142,0.642423,7.790849,0.459458,0.638033,0.417406,-1.486305,0.921964,1.067334,0.224207,0.361036,1.214986,1.130405,1.066013,0.977143,0.424692,0.248548,3.261516,-1.505442,0.885164,0.150260,-1.012583,-2.017540,0.094786,-1.195548,-1.093284,2.007880,0.320827,-1.333416,-1.665216,0.266433,0.539533,2925.220117,1.317268,-1.795329,0.243077,0.438753,1.890073,-1.071530,-0.825500,0.511743,0.235159,1.378253,0.699536,0.721111,1.416151,-1.780852,1.400950
-2.175142,0.716796,4.793234,0.644472,0.840333,0.316430,-1.431554,1.037184,1.382868,0.270120,0.487677,1.051536,1.130405,1.066013,0.868286,0.464455,0.257919,3.261516,-1.501634,0.875018,1.782056,-1.012583,-1.793043,1.216699,-1.195548,-1.087529,1.603117,0.323308,-1.333416,-0.746849,0.266433,0.944935,1699.395838,1.392430,-1.040779,0.895698,0.444161,1.684634,-1.213672,-1.319264,0.803760,0.232991,1.578714,1.004147,0.721111,1.416151,-0.621372,1.005360
-0.581551,0.509463,1.235415,0.926678,0.914717,0.635766,-1.258247,0.686084,1.382868,0.445585,0.472954,0.878240,1.352859,1.545921,0.955588,0.601959,0.505549,0.999804,-1.015377,1.391961,1.782056,-1.138521,-1.766094,1.216699,-1.545108,-1.090147,1.603117,0.667093,0.586814,-1.079995,1.763502,0.429299,424.244362,0.966662,-2.160563,0.957715,0.666644,1.665143,-1.213672,-1.319264,0.628961,0.555929,1.222847,0.237115,1.299590,1.081599,-1.101370,1.788442
